Order ID,Order Date,Region,State,Segment,Category,Sub-Category,Ship Mode,Quantity,Discount,Sales,Profit
US-1063,18-06-2024,East,New York,Consumer,Office Supplies,Paper,Second Class,2,0.5,123.79,38.21
US-1064,22-10-2024,East,New York,Consumer,Furniture,Chairs,Standard Class,5,0.4,1957.74,40.62
US-1065,02-02-2024,East,New York,Corporate,Technology,Phones,Second Class,5,0.2,1802.45,476.32
US-1066,22-06-2024,Central,Michigan,Consumer,Office Supplies,Storage,Same Day,4,0.2,190.77,12.19
US-1067,25-03-2023,West,Washington,Home Office,Furniture,Chairs,Same Day,5,0.5,1131.32,15.64
US-1068,22-07-2023,South,Georgia,Home Office,Furniture,Bookcases,Same Day,1,0.1,354.34,2.41
US-1069,15-08-2023,Central,Texas,Consumer,Office Supplies,Paper,Same Day,5,0.5,276.88,43.28
US-1070,01-09-2024,West,Washington,Corporate,Technology,Machines,Standard Class,3,0.0,1835.68,153.73
US-1071,30-12-2024,East,New York,Corporate,Office Supplies,Binders,Same Day,6,0.3,326.27,150.13
US-1072,18-01-2024,South,Florida,Corporate,Furniture,Tables,Same Day,6,0.0,1647.29,14.09
US-1073,01-01-2024,East,New Jersey,Consumer,Office Supplies,Art,Same Day,5,0.5,287.96,75.75
US-1074,30-04-2024,South,Florida,Corporate,Furniture,Bookcases,First Class,1,0.4,317.12,-5.12
US-1075,21-09-2023,East,Pennsylvania,Consumer,Furniture,Furnishings,Standard Class,4,0.2,1372.56,40.15
US-1076,10-10-2023,East,Pennsylvania,Home Office,Office Supplies,Labels,First Class,5,0.0,140.68,42.72
US-1077,31-01-2024,East,Pennsylvania,Home Office,Furniture,Tables,Same Day,5,0.5,1902.74,55.94
US-1078,02-12-2023,Central,Michigan,Consumer,Furniture,Chairs,Second Class,6,0.1,1672.05,40.41
US-1079,08-05-2024,West,Washington,Consumer,Office Supplies,Paper,Standard Class,6,0.0,202.71,51.77
US-1080,25-05-2024,East,New York,Consumer,Office Supplies,Labels,Same Day,8,0.1,273.88,31.38
US-1081,17-01-2024,Central,Illinois,Corporate,Technology,Phones,First Class,5,0.1,2728.52,355.72
US-1082,08-03-2023,Central,Michigan,Consumer,Furniture,Tables,First Class,7,0.0,1621.35,13.8
US-1083,25-08-2023,East,New York,Consumer,Technology,Copiers,Same Day,8,0.0,4873.4,382.15
US-1084,04-04-2024,West,California,Corporate,Furniture,Tables,Second Class,5,0.3,1746.87,45.22
US-1085,28-07-2023,Central,Illinois,Consumer,Furniture,Chairs,Standard Class,5,0.0,918.02,11.96
US-1086,21-03-2023,Central,Texas,Home Office,Office Supplies,Art,First Class,4,0.4,116.53,26.79
US-1087,30-10-2024,West,Oregon,Home Office,Furniture,Furnishings,Standard Class,3,0.2,793.5,-3.61
US-1088,29-02-2024,Central,Michigan,Home Office,Office Supplies,Binders,First Class,7,0.1,200.59,69.41
US-1089,09-03-2024,West,California,Corporate,Office Supplies,Art,Second Class,2,0.5,115.07,16.06
US-1090,18-10-2024,East,New York,Home Office,Furniture,Tables,Second Class,7,0.0,1365.22,28.11
US-1091,10-03-2023,Central,Texas,Home Office,Furniture,Bookcases,Second Class,2,0.1,522.68,3.07
US-1092,14-09-2024,East,Pennsylvania,Corporate,Office Supplies,Paper,Standard Class,7,0.0,217.75,73.11
US-1093,07-07-2023,South,North Carolina,Consumer,Technology,Machines,Same Day,4,0.3,1180.07,441.03
US-1094,29-07-2024,West,Oregon,Consumer,Furniture,Tables,Standard Class,1,0.5,325.28,-0.73
US-1095,11-03-2024,South,Georgia,Home Office,Technology,Accessories,Second Class,7,0.0,3620.28,766.14
US-1096,03-07-2023,South,Florida,Corporate,Furniture,Furnishings,Same Day,8,0.3,2120.62,11.62
US-1097,26-03-2023,East,New York,Home Office,Furniture,Furnishings,Second Class,6,0.4,2099.81,44.01
US-1098,18-07-2023,East,New York,Home Office,Technology,Machines,Standard Class,3,0.0,1900.27,419.51
US-1099,12-06-2023,East,Pennsylvania,Home Office,Technology,Machines,First Class,6,0.0,3616.52,554.65
US-1100,22-09-2024,South,Florida,Home Office,Office Supplies,Labels,First Class,4,0.0,157.95,12.98
US-1101,28-04-2023,Central,Illinois,Consumer,Technology,Accessories,First Class,1,0.0,509.07,80.94
US-1102,20-01-2024,South,North Carolina,Corporate,Office Supplies,Labels,First Class,6,0.5,292.71,57.41
US-1103,14-11-2023,East,Pennsylvania,Home Office,Furniture,Tables,First Class,6,0.2,2039.6,54.63
US-1104,16-05-2023,South,North Carolina,Corporate,Technology,Copiers,Standard Class,8,0.0,2894.51,814.54
US-1105,30-06-2024,Central,Texas,Home Office,Technology,Accessories,First Class,4,0.3,1715.06,281.63
US-1106,25-12-2024,West,California,Consumer,Technology,Copiers,Second Class,3,0.2,1326.92,113.29
US-1107,31-08-2024,East,New York,Home Office,Office Supplies,Storage,First Class,8,0.0,397.34,112.36
US-1108,10-07-2023,East,New Jersey,Consumer,Furniture,Chairs,Same Day,4,0.1,843.29,26.55
US-1109,19-09-2024,West,Oregon,Home Office,Furniture,Furnishings,Same Day,3,0.5,868.29,-2.52
US-1110,24-03-2023,South,Georgia,Home Office,Technology,Phones,Same Day,8,0.0,2745.13,1080.08
US-1111,13-10-2024,Central,Michigan,Consumer,Furniture,Bookcases,First Class,7,0.2,2305.03,62.68
US-1112,24-09-2023,East,New Jersey,Consumer,Technology,Machines,Second Class,4,0.3,2332.08,307.58
US-1113,07-10-2024,Central,Michigan,Consumer,Furniture,Furnishings,Same Day,8,0.0,2249.85,49.22
US-1114,01-08-2024,Central,Texas,Corporate,Office Supplies,Paper,Standard Class,3,0.0,99.62,7.89
US-1115,10-12-2024,East,New York,Consumer,Office Supplies,Paper,Second Class,1,0.3,53.09,19.9
US-1116,28-07-2023,South,Florida,Consumer,Furniture,Chairs,Second Class,2,0.0,365.24,-1.07
US-1117,23-10-2024,South,Florida,Consumer,Technology,Accessories,Standard Class,4,0.3,1544.02,269.45
US-1118,08-09-2024,East,New Jersey,Corporate,Office Supplies,Storage,First Class,8,0.4,469.2,160.79
US-1119,04-07-2024,East,Pennsylvania,Corporate,Furniture,Furnishings,Standard Class,4,0.2,1342.95,32.79
US-1120,25-02-2023,East,New Jersey,Consumer,Furniture,Furnishings,First Class,1,0.0,253.26,-8.18
US-1121,18-10-2023,Central,Michigan,Corporate,Office Supplies,Labels,Second Class,4,0.0,247.11,42.3
US-1122,08-04-2023,East,New Jersey,Corporate,Office Supplies,Labels,First Class,7,0.4,429.98,186.0
US-1123,14-03-2024,Central,Texas,Corporate,Technology,Phones,First Class,3,0.5,1249.65,443.51
US-1124,06-04-2024,Central,Michigan,Corporate,Furniture,Chairs,Second Class,6,0.1,1278.89,12.91
US-1125,03-06-2024,South,North Carolina,Home Office,Furniture,Bookcases,Second Class,4,0.0,940.73,14.55
US-1126,14-06-2023,West,Oregon,Corporate,Technology,Machines,First Class,4,0.0,1592.43,189.94
US-1127,06-11-2023,West,Washington,Consumer,Furniture,Chairs,Second Class,5,0.0,1364.29,6.65
US-1128,13-02-2024,South,Georgia,Consumer,Office Supplies,Paper,Standard Class,7,0.5,370.75,99.59
US-1129,06-01-2023,Central,Michigan,Home Office,Furniture,Tables,Same Day,4,0.4,1517.2,20.07
US-1130,18-03-2024,West,Oregon,Consumer,Furniture,Tables,Same Day,6,0.1,1400.74,24.43
US-1131,21-01-2023,Central,Illinois,Corporate,Office Supplies,Paper,Same Day,7,0.3,326.6,105.02
US-1132,10-07-2024,South,Florida,Consumer,Furniture,Furnishings,First Class,4,0.3,844.76,10.77
US-1133,16-10-2024,West,Oregon,Corporate,Furniture,Furnishings,Standard Class,6,0.1,1754.28,17.9
US-1134,14-10-2024,South,North Carolina,Consumer,Technology,Machines,First Class,1,0.0,370.88,70.29
US-1135,18-08-2023,Central,Michigan,Corporate,Office Supplies,Art,Standard Class,5,0.1,273.46,123.02
US-1136,11-10-2024,West,California,Consumer,Office Supplies,Art,Standard Class,4,0.0,179.56,54.08
US-1137,25-04-2024,South,Georgia,Home Office,Office Supplies,Art,Second Class,6,0.2,337.26,50.41
US-1138,02-01-2024,South,Florida,Home Office,Office Supplies,Paper,First Class,4,0.0,206.23,37.79
US-1139,29-03-2023,West,Washington,Corporate,Technology,Accessories,Standard Class,6,0.0,3373.52,366.49
US-1140,14-09-2023,West,California,Home Office,Technology,Phones,First Class,2,0.5,976.51,336.92
US-1141,16-09-2024,West,Washington,Home Office,Office Supplies,Paper,Second Class,2,0.2,104.13,36.02
US-1142,18-11-2024,West,Oregon,Consumer,Furniture,Furnishings,Same Day,2,0.0,599.78,4.85
US-1143,18-12-2024,East,Pennsylvania,Corporate,Office Supplies,Art,Second Class,8,0.0,295.01,36.18
US-1144,12-11-2024,South,North Carolina,Home Office,Furniture,Bookcases,Same Day,5,0.0,1820.64,25.12
US-1145,29-11-2024,East,New York,Home Office,Furniture,Bookcases,Standard Class,6,0.0,2141.61,11.62
US-1146,07-04-2023,South,North Carolina,Consumer,Furniture,Tables,First Class,6,0.1,1510.77,36.04
US-1147,24-10-2023,Central,Illinois,Corporate,Office Supplies,Art,Standard Class,5,0.2,203.93,54.41
US-1148,05-12-2023,West,Oregon,Corporate,Technology,Accessories,Standard Class,4,0.0,1576.62,250.94
US-1149,13-02-2024,South,North Carolina,Home Office,Furniture,Furnishings,Standard Class,5,0.5,997.06,-4.96
US-1150,06-08-2023,South,North Carolina,Consumer,Technology,Phones,Standard Class,1,0.0,520.12,101.48
US-1151,13-01-2024,East,Pennsylvania,Consumer,Technology,Machines,Standard Class,3,0.2,1689.46,421.02
US-1152,02-08-2024,East,Pennsylvania,Consumer,Furniture,Furnishings,Same Day,1,0.4,287.0,-6.15
US-1153,31-08-2024,South,Florida,Consumer,Technology,Copiers,Same Day,3,0.5,1353.48,272.0
US-1154,01-12-2024,East,Pennsylvania,Consumer,Furniture,Tables,Standard Class,2,0.0,793.99,21.94
US-1155,06-04-2024,East,Pennsylvania,Home Office,Furniture,Furnishings,Second Class,3,0.0,1147.89,8.28
US-1156,16-04-2024,Central,Michigan,Home Office,Technology,Phones,Same Day,5,0.0,3044.34,253.35
US-1157,13-05-2024,South,Georgia,Corporate,Furniture,Chairs,Second Class,1,0.5,246.16,-2.43
US-1158,06-10-2024,West,California,Corporate,Technology,Machines,Second Class,7,0.2,3161.94,1013.79
US-1159,12-09-2024,Central,Illinois,Consumer,Technology,Accessories,First Class,1,0.4,579.26,148.51
US-1160,07-04-2024,South,North Carolina,Corporate,Furniture,Furnishings,Second Class,5,0.0,1649.62,21.79
US-1161,08-10-2023,Central,Texas,Home Office,Technology,Phones,Second Class,8,0.4,3238.94,296.39
US-1162,21-04-2024,Central,Michigan,Consumer,Furniture,Tables,Same Day,4,0.4,1533.4,36.03
US-1163,27-08-2023,East,New Jersey,Corporate,Office Supplies,Labels,Standard Class,7,0.3,342.06,144.31
US-1164,05-04-2023,West,California,Consumer,Office Supplies,Labels,Second Class,3,0.3,171.03,26.52
US-1165,19-01-2024,West,California,Consumer,Office Supplies,Labels,Same Day,2,0.3,82.76,21.83
US-1166,07-04-2023,Central,Illinois,Home Office,Technology,Phones,Standard Class,1,0.1,353.67,116.49
US-1167,18-09-2023,South,Florida,Corporate,Office Supplies,Storage,Second Class,1,0.0,40.2,14.5
US-1168,07-03-2023,Central,Michigan,Corporate,Furniture,Chairs,Same Day,7,0.3,2677.39,71.45
US-1169,07-07-2023,East,New Jersey,Home Office,Technology,Machines,Same Day,8,0.1,4687.12,879.53
US-1170,18-02-2023,Central,Illinois,Consumer,Furniture,Chairs,Standard Class,5,0.5,1759.67,38.32
US-1171,24-11-2024,West,Washington,Consumer,Furniture,Chairs,Second Class,5,0.5,1538.51,19.81
US-1172,07-05-2024,Central,Illinois,Consumer,Office Supplies,Storage,First Class,7,0.0,238.48,41.77
US-1173,25-09-2024,East,New York,Consumer,Office Supplies,Paper,Standard Class,6,0.0,359.96,44.66
US-1174,28-08-2023,East,Pennsylvania,Corporate,Office Supplies,Binders,First Class,8,0.0,257.3,56.19
US-1175,04-03-2024,West,Washington,Consumer,Furniture,Furnishings,First Class,7,0.2,1613.64,2.35
US-1176,12-04-2024,Central,Illinois,Consumer,Office Supplies,Paper,First Class,8,0.1,256.88,126.31
US-1177,09-01-2024,Central,Texas,Corporate,Technology,Copiers,Second Class,7,0.0,4457.37,1748.43
US-1178,28-05-2023,South,Florida,Consumer,Office Supplies,Storage,First Class,1,0.5,43.92,5.39
US-1179,23-02-2024,West,Washington,Corporate,Furniture,Bookcases,Standard Class,4,0.1,949.16,-1.81
US-1180,15-09-2024,West,Oregon,Consumer,Technology,Machines,Standard Class,8,0.1,4432.49,546.93
US-1181,26-02-2023,West,California,Consumer,Technology,Accessories,Same Day,6,0.5,2404.07,813.62
US-1182,12-09-2023,South,Georgia,Consumer,Furniture,Chairs,First Class,3,0.3,905.11,31.65
US-1183,04-05-2023,Central,Michigan,Corporate,Technology,Phones,Standard Class,6,0.3,3223.51,1068.37
US-1184,02-04-2024,East,Pennsylvania,Consumer,Technology,Copiers,Same Day,1,0.0,470.98,114.29
US-1185,22-07-2024,West,California,Corporate,Furniture,Tables,First Class,1,0.2,179.38,-5.02
US-1186,26-12-2023,West,Oregon,Corporate,Furniture,Furnishings,Standard Class,2,0.5,672.69,3.1
US-1187,21-05-2023,East,New York,Consumer,Technology,Accessories,Same Day,4,0.4,2359.97,261.82
US-1188,10-02-2024,South,North Carolina,Corporate,Furniture,Chairs,Standard Class,1,0.3,349.8,2.05
US-1189,29-11-2023,Central,Illinois,Home Office,Technology,Copiers,Standard Class,3,0.4,1874.49,697.94
US-1190,12-03-2023,Central,Texas,Home Office,Technology,Phones,Second Class,6,0.0,2615.37,607.96
US-1191,05-02-2023,South,North Carolina,Consumer,Office Supplies,Art,Standard Class,5,0.0,305.23,96.14
US-1192,20-03-2024,Central,Texas,Home Office,Technology,Phones,Standard Class,4,0.0,2489.25,395.9
US-1193,26-03-2024,Central,Texas,Corporate,Furniture,Chairs,Second Class,2,0.2,580.23,5.16
US-1194,10-04-2024,East,New Jersey,Home Office,Office Supplies,Paper,First Class,4,0.5,205.65,24.0
US-1195,06-09-2023,South,Georgia,Corporate,Technology,Accessories,Standard Class,6,0.4,2158.61,501.76
US-1196,18-05-2024,West,California,Corporate,Furniture,Bookcases,First Class,5,0.0,1195.42,38.15
US-1197,13-06-2024,Central,Illinois,Home Office,Furniture,Chairs,Standard Class,7,0.1,2539.07,30.77
US-1198,24-05-2023,South,Georgia,Home Office,Technology,Machines,First Class,4,0.0,2007.47,683.27
US-1199,27-02-2024,Central,Michigan,Home Office,Technology,Copiers,Second Class,2,0.5,563.11,170.66
US-1200,24-01-2024,West,Washington,Corporate,Office Supplies,Labels,Standard Class,8,0.3,423.48,81.52
US-1201,26-05-2024,South,North Carolina,Corporate,Office Supplies,Labels,Standard Class,7,0.0,307.9,45.12
US-1202,05-12-2023,South,North Carolina,Consumer,Office Supplies,Labels,Standard Class,6,0.3,377.29,124.41
US-1203,01-08-2024,East,New York,Consumer,Furniture,Furnishings,First Class,8,0.4,1939.67,38.17
US-1204,31-08-2024,South,Georgia,Corporate,Technology,Copiers,Standard Class,6,0.1,2658.62,183.55
US-1205,12-07-2023,Central,Michigan,Corporate,Furniture,Furnishings,Second Class,7,0.3,1991.57,28.88
US-1206,18-03-2023,West,Washington,Corporate,Technology,Phones,First Class,5,0.3,2322.67,224.58
US-1207,01-06-2024,West,Oregon,Corporate,Technology,Copiers,Second Class,4,0.0,1713.65,138.65
US-1208,03-01-2023,East,New Jersey,Corporate,Office Supplies,Labels,Standard Class,5,0.4,267.91,70.97
US-1209,20-07-2024,East,New York,Consumer,Furniture,Chairs,Same Day,5,0.0,1855.03,53.25
US-1210,10-06-2023,South,North Carolina,Consumer,Technology,Machines,Second Class,2,0.5,580.9,38.72
US-1211,01-12-2024,South,Florida,Home Office,Office Supplies,Labels,Standard Class,6,0.0,199.09,32.51
US-1212,30-09-2024,East,Pennsylvania,Consumer,Office Supplies,Binders,Same Day,7,0.0,200.93,29.51
US-1213,13-06-2023,West,California,Consumer,Office Supplies,Binders,Standard Class,3,0.2,118.0,42.22
US-1214,24-11-2024,Central,Illinois,Consumer,Office Supplies,Labels,Second Class,7,0.4,366.08,114.47
US-1215,24-06-2023,East,New York,Consumer,Technology,Copiers,Second Class,6,0.4,2498.66,157.97
US-1216,10-12-2023,East,Pennsylvania,Home Office,Technology,Accessories,Same Day,7,0.3,3601.23,1373.68
US-1217,19-12-2023,South,Florida,Corporate,Technology,Machines,First Class,4,0.0,1747.23,275.88
US-1218,22-07-2024,East,New York,Corporate,Furniture,Tables,Second Class,8,0.3,2240.7,63.28
US-1219,01-11-2023,South,Georgia,Home Office,Office Supplies,Paper,Second Class,8,0.0,369.39,59.5
US-1220,18-02-2024,South,North Carolina,Corporate,Technology,Accessories,Second Class,4,0.0,1300.74,397.91
US-1221,15-11-2023,South,Florida,Home Office,Technology,Accessories,Second Class,1,0.1,420.38,37.02
US-1222,27-05-2024,East,New York,Home Office,Office Supplies,Paper,First Class,5,0.2,174.71,66.09
US-1223,05-10-2024,Central,Illinois,Corporate,Furniture,Furnishings,Same Day,3,0.3,1157.3,7.57
US-1224,05-10-2024,South,Florida,Corporate,Office Supplies,Binders,First Class,2,0.1,69.08,-4.54
US-1225,17-03-2024,South,Florida,Home Office,Technology,Phones,Second Class,4,0.2,2210.02,248.7
US-1226,21-03-2024,West,Oregon,Corporate,Technology,Machines,First Class,6,0.2,3701.06,369.45
US-1227,23-11-2023,West,Oregon,Consumer,Furniture,Chairs,Standard Class,4,0.4,1399.41,9.2
US-1228,24-12-2023,West,Washington,Home Office,Technology,Copiers,Standard Class,7,0.5,3075.24,540.77
US-1229,16-05-2024,West,Washington,Home Office,Technology,Phones,Second Class,4,0.2,1182.92,340.31
US-1230,02-03-2023,West,Oregon,Corporate,Furniture,Tables,Second Class,3,0.2,766.53,11.04
US-1231,23-12-2024,South,North Carolina,Corporate,Furniture,Tables,Second Class,4,0.3,705.29,16.87
US-1232,08-12-2023,West,Oregon,Consumer,Technology,Accessories,Second Class,2,0.0,954.75,300.09
US-1233,13-01-2023,South,Florida,Consumer,Technology,Copiers,First Class,6,0.2,2731.07,205.92
US-1234,29-11-2023,Central,Illinois,Consumer,Furniture,Chairs,Second Class,8,0.0,2243.59,35.37
US-1235,31-07-2024,South,Georgia,Consumer,Furniture,Chairs,First Class,5,0.1,997.4,14.1
US-1236,04-10-2024,East,Pennsylvania,Consumer,Technology,Accessories,First Class,5,0.0,2575.53,225.19
US-1237,15-04-2023,Central,Illinois,Consumer,Office Supplies,Paper,Second Class,5,0.3,273.62,57.76
US-1238,17-09-2023,Central,Texas,Home Office,Office Supplies,Paper,First Class,4,0.4,120.31,3.48
US-1239,03-11-2023,South,Georgia,Corporate,Furniture,Tables,Second Class,2,0.4,413.85,3.23
US-1240,17-01-2024,South,Georgia,Consumer,Furniture,Chairs,Second Class,1,0.4,182.2,-8.07
US-1241,13-12-2023,East,New Jersey,Consumer,Furniture,Bookcases,Same Day,2,0.0,547.41,1.83
US-1242,04-08-2024,East,Pennsylvania,Home Office,Office Supplies,Storage,First Class,4,0.4,179.51,48.25
US-1243,03-03-2023,South,North Carolina,Home Office,Technology,Machines,Standard Class,6,0.3,2995.76,482.81
US-1244,13-07-2023,Central,Illinois,Home Office,Office Supplies,Paper,Standard Class,4,0.3,209.73,55.74
US-1245,10-02-2024,Central,Michigan,Consumer,Technology,Copiers,Same Day,5,0.0,1605.66,188.27
US-1246,27-12-2024,East,New York,Home Office,Furniture,Bookcases,First Class,8,0.0,1808.58,27.59
US-1247,18-05-2023,South,North Carolina,Consumer,Technology,Phones,Same Day,2,0.5,1011.15,379.47
US-1248,06-04-2023,West,California,Home Office,Technology,Copiers,Same Day,3,0.0,1243.23,329.85
US-1249,15-04-2024,East,New Jersey,Home Office,Office Supplies,Binders,Second Class,5,0.0,161.7,9.16
US-1250,11-01-2024,East,New Jersey,Corporate,Technology,Machines,Second Class,6,0.2,3416.88,1055.31
US-1251,15-05-2024,Central,Michigan,Home Office,Furniture,Tables,First Class,1,0.3,358.72,0.62
US-1252,29-12-2023,East,New Jersey,Consumer,Technology,Phones,First Class,4,0.5,2119.26,139.92
US-1253,09-07-2023,South,Florida,Consumer,Furniture,Chairs,First Class,3,0.4,899.12,2.91
US-1254,17-12-2023,Central,Illinois,Consumer,Furniture,Bookcases,Standard Class,3,0.0,853.84,17.05
US-1255,07-02-2024,South,Georgia,Consumer,Furniture,Tables,Same Day,4,0.3,1485.72,35.0
US-1256,05-08-2023,Central,Texas,Home Office,Technology,Machines,Standard Class,3,0.5,1724.71,522.78
US-1257,08-12-2023,Central,Texas,Corporate,Office Supplies,Storage,Same Day,4,0.0,114.95,17.04
US-1258,07-03-2023,West,Washington,Corporate,Technology,Machines,First Class,5,0.0,2042.3,512.56
US-1259,07-01-2024,East,New York,Corporate,Technology,Phones,Standard Class,5,0.0,2827.48,396.77
US-1260,05-06-2024,Central,Illinois,Home Office,Technology,Phones,First Class,4,0.0,1624.62,396.4
